#{"t_start": 1781498531.4854097, "env_id": "CarRacing-v3"}
r,l,t
889.690722,1000,5060.907722
869.811321,1000,5168.455931
767.46988,1000,5197.025776
886.15917,1000,5226.406369
896.309963,1000,5255.342786
885.815603,1000,5284.449051
885.130112,1000,5311.87866
935.4,646,5331.800255
902.8,972,5437.503243
921.7,783,5458.791905
922.1,779,5481.596534
881.343284,1000,5511.116796
930.7,693,5530.396426
838.110749,1000,5558.805488
592.05298,1000,5588.592612
878.395062,1000,5707.384586
882.758621,1000,5736.195568
850.177936,1000,5765.297328
889.247312,1000,5795.472695
883.713355,1000,5824.396129
599.680511,1000,5853.443751
892.857143,1000,5960.977435
880.13245,1000,5989.714548
888.461538,1000,6017.237005
874.025974,1000,6046.284129
924.5,755,6069.634559
889.473684,1000,6098.82505
935.0,650,6117.371433
877.198697,1000,6224.472156
933.8,662,6243.034164
884.423676,1000,6272.26693
886.440678,1000,6301.429047
896.296296,1000,6330.346892
889.010989,1000,6359.369457
926.0,740,6381.67862
896.598639,1000,6489.971746
888.326848,1000,6518.684238
887.692308,1000,6547.808685
872.696246,1000,6575.196056
941.1,589,6593.502065
684.511785,1000,6622.547607
893.311037,1000,6651.521578
880.327869,1000,6756.701638
884.984985,1000,6786.615159
876.190476,1000,6815.552771
887.804878,1000,6844.666718
896.478873,1000,6873.624165
911.7,883,6899.44855
889.690722,1000,7006.039923
860.264901,1000,7034.959483
882.578397,1000,7064.221882
931.2,688,7083.764246
713.148789,1000,7113.197531
885.915493,1000,7142.416122
627.828746,1000,7171.336777
934.3,657,7268.107206
873.856209,1000,7296.038477
884.848485,1000,7324.022294
737.988827,1000,7352.902331
888.721805,1000,7381.970001
883.050847,1000,7411.43506
927.2,728,7511.796728
892.982456,1000,7539.236978
932.8,672,7559.793312
886.928105,1000,7588.778708
933.1,669,7607.568503
881.343284,1000,7636.424746
450.359712,1000,7665.197889
907.0,930,7773.421028
931.5,685,7792.181874
863.855422,1000,7821.926449
925.1,749,7844.445955
753.333333,1000,7871.48941
869.96997,1000,7901.027409
859.70696,1000,7929.824299
865.277778,1000,8036.833377
843.573668,1000,8065.659494
889.323843,1000,8094.695451
889.619377,1000,8123.579047
928.0,720,8145.67909
644.408946,1000,8175.215421
856.375839,1000,8203.754669
874.193548,1000,8309.929798
889.726027,1000,8338.854859
871.518987,1000,8367.769195
852.054795,1000,8396.800742
864.85623,1000,8425.539037
870.909091,1000,8454.446617
870.099668,1000,8561.89959
893.288591,1000,8591.817209
886.30137,1000,8620.745518
889.323843,1000,8649.57031
864.052288,1000,8678.915216
917.8,822,8703.339824
860.992908,1000,8812.115471
893.079585,1000,8841.411051
887.915408,1000,8869.1153
892.882562,1000,8898.107669
896.610169,1000,8926.936859
885.40146,1000,8956.316422
893.150685,1000,8985.217107
924.6,754,9086.913416
896.655518,1000,9115.714659
943.1,569,9131.913239
891.304348,1000,9161.204774
872.881356,1000,9190.392174
888.235294,1000,9219.666297
937.7,623,9237.428435
928.5,715,9335.97648
868.75,1000,9365.605973
848.228883,1000,9394.330579
887.012987,1000,9423.587479
901.8,982,9452.315429
877.635783,1000,9481.291705
925.3,747,9502.335163
889.726027,1000,9610.179006
883.277592,1000,9639.432903
878.193146,1000,9668.514613
900.8,992,9697.145451
923.4,766,9720.702952
905.5,945,9747.99283
888.847584,1000,9856.189305
606.070288,1000,9885.138211
937.2,628,9902.601178
893.265993,1000,9931.90544
877.635783,1000,9960.480712
892.424242,1000,9989.899002
874.193548,1000,10018.80288
886.531987,1000,10126.338973
859.459459,1000,10153.185918
872.891566,1000,10182.1255
885.915493,1000,10211.655062
925.5,745,10234.123129
896.124031,1000,10263.083191
795.348837,1000,10371.853808
926.5,735,10392.352783
928.9,711,10414.49469
890.066225,1000,10443.41447
876.666667,1000,10470.419947
920.6,794,10494.347354
920.0,800,10518.625747
878.593272,1000,10547.901313
